pandaid,IObytesRead,IObytesReadRate,IObytesWritten,IObytesWriteRate,inputfilebytes,hs06sec,maxrss,maxvmem,timeStageIn,timeStageOut,wall_time,cpuconsumptiontime,computingsite,workDirSize
3949305016,332568,5492736,368164,6080644,336984672,4751,180968,823248,243,23,476,55,BNL_PROD,684032
3949305017,305784,5050368,329452,5441271,336167881,4481,265972,1234408,192,21,449,67,BNL_PROD,671744
3949305023,306048,5054728,366348,6050650,335208748,3832,265804,1234404,150,15,384,66,BNL_PROD,675840
3949305029,413416,6719650,364608,5926326,333291013,3792,238812,953504,148,19,380,61,BNL_PROD,671744
3949305038,301812,4984765,306628,5064307,335578511,2979,266836,1346108,28,7,265,80,DESY-HH_UCORE,663552
3949305047,300996,4971288,304220,5024536,335290722,2945,266140,1346116,25,8,262,82,DESY-HH_UCORE,671744
3949305050,373696,3061317,366552,3002793,335456884,4317,264620,1344076,36,9,384,100,DESY-HH_UCORE,684032
3949305051,275836,4483429,306076,4974949,333886329,2855,265804,1346132,24,6,254,80,DESY-HH_UCORE,671744
3949305054,293644,4772880,259076,4211013,335631616,3642,272208,1346120,35,10,324,81,DESY-HH_UCORE,679936
3949305055,301560,4901546,295836,4808508,334599729,2911,266420,1346124,30,7,259,81,DESY-HH_UCORE,675840
3949305057,301384,2468937,284632,2331705,335353324,4474,266168,1346084,42,14,398,85,DESY-HH_UCORE,675840
3949618057,447720,3667722,367420,3009904,336253007,3080,265932,1345108,35,11,274,112,DESY-HH_UCORE,679936
3949904578,293400,4768914,319124,5187031,336053509,2574,265356,1346120,55,8,229,79,DESY-HH_UCORE,688128
3949904579,293524,2423940,219476,1812446,334686099,3406,265872,1345104,63,11,303,83,DESY-HH_UCORE,696320
3949904581,291596,2408018,211176,1743905,337960015,3327,265920,1346212,60,11,296,100,DESY-HH_UCORE,688128
3949904582,451680,3730002,369332,3049967,338230466,3474,265852,1345080,62,9,309,85,DESY-HH_UCORE,692224
3949904585,295276,4799406,345704,5619061,337523183,2799,266656,1346120,42,7,249,73,DESY-HH_UCORE,675840
3949904588,275928,2278631,206660,1706611,334568681,3710,265492,1346120,45,9,330,98,DESY-HH_UCORE,679936
3949904589,292204,2413039,219976,1816576,336418104,3923,266500,1346220,48,10,349,97,DESY-HH_UCORE,675840
3949372599,417420,3475106,366252,3049122,334886739,7096,265092,1233380,330,21,711,73,BNL_PROD,688128
3949372606,406224,3381897,366036,3047324,334647691,3763,265020,1233380,94,17,377,76,BNL_PROD,688128
3949304945,301708,2491524,224840,1856743,335645418,3226,266360,1346220,30,12,287,84,DESY-HH_UCORE,675840
3949304947,453760,3747179,366960,3030379,335765613,3372,264784,1367628,38,10,300,99,DESY-HH_UCORE,675840
3949304950,302952,5003594,266320,4398575,336014204,3507,266340,1346132,27,9,312,83,DESY-HH_UCORE,684032
3949304952,393904,2180311,367472,2034007,336341642,5025,266320,1346212,43,10,447,102,DESY-HH_UCORE,684032
3949304953,434396,3558572,367940,3014164,336797708,4350,263476,1345104,38,11,387,100,DESY-HH_UCORE,733184
3949304957,301076,4893679,255712,4156334,336288340,2889,266840,1346128,28,6,257,81,DESY-HH_UCORE,675840
3949304964,303196,5007624,268928,4441649,335725739,3653,266204,1346196,28,7,325,82,DESY-HH_UCORE,696320
3949304965,296088,4890227,221984,3666316,337433326,3575,266244,1346072,32,9,318,99,DESY-HH_UCORE,684032
3949304967,296908,4903770,340824,5629093,336867932,2911,247092,1346128,25,6,259,76,DESY-HH_UCORE,684032
3949304971,301356,4898230,259384,4216019,335280560,3608,266852,1346208,27,7,321,85,DESY-HH_UCORE,679936
3949304972,277412,4509045,272764,4433497,335929476,3563,204960,1346124,28,7,317,84,DESY-HH_UCORE,679936
3949304979,418444,2279184,365796,1992420,334533540,6014,244800,1345084,60,9,535,87,DESY-HH_UCORE,696320
3949304983,297380,4833605,246364,4004392,334584168,3575,266448,1346128,29,8,318,85,DESY-HH_UCORE,692224
3949304986,281792,2308440,188516,1544323,337689453,3991,265936,1345112,45,9,355,97,DESY-HH_UCORE,696320
3949304991,397336,2164213,364004,1982660,332753962,5059,265556,1345100,58,11,450,98,DESY-HH_UCORE,684032
3949304997,441212,7171445,367128,5967286,335928859,2833,238336,1059576,25,7,252,66,DESY-HH_UCORE,679936
3949304998,308908,5101964,345408,5704803,336191310,2934,266836,1346120,27,6,261,77,DESY-HH_UCORE,679936
3949305002,356976,5895861,262156,4329802,333416348,3665,203656,1346108,30,11,326,81,DESY-HH_UCORE,692224
3949305006,395984,3296647,369112,3072932,337842613,4102,273012,1246440,85,13,411,66,BNL_PROD,679936
3949305022,286212,4727114,284136,4692826,333960843,4511,265780,1234496,180,29,452,85,BNL_PROD,679936
3949315061,301180,1658109,345756,1903516,335415273,5621,266824,1346120,59,12,500,112,DESY-HH_UCORE,684032
3949315068,473992,3914256,365920,3021790,334697721,3800,258792,1346136,37,10,338,100,DESY-HH_UCORE,675840
3949315074,301172,4895240,224676,3651876,335150647,4440,265956,1346132,48,9,395,84,DESY-HH_UCORE,692224
3949315113,430464,2382676,366292,2027475,334967884,4328,264968,1345108,37,9,385,112,DESY-HH_UCORE,667648
3949315119,302996,5004321,240028,3964333,336274748,3563,265916,1346140,30,9,317,81,DESY-HH_UCORE,659456
3949315124,301688,4982717,323220,5338343,338119531,3147,266728,1346128,25,8,280,80,DESY-HH_UCORE,671744
3949315126,444700,2422195,366084,1993989,334834521,5879,281848,1368700,60,17,523,103,DESY-HH_UCORE,741376
3949315127,250608,4073374,230612,3748360,335721069,3597,265916,1345092,36,9,320,98,DESY-HH_UCORE,671744
3949315134,285224,4710796,297880,4919824,335390906,2990,266208,1346116,26,7,266,82,DESY-HH_UCORE,675840
3949315140,451628,3699736,368884,3021897,337762933,4339,264392,1346112,45,12,386,99,DESY-HH_UCORE,688128
3949315147,422100,6971458,368144,6080313,336902904,3872,94192,537128,148,17,388,50,BNL_PROD,684032
3949315151,345140,2850188,367656,3036126,336395135,4212,265116,1233384,150,19,422,75,BNL_PROD,692224
3949315156,267760,4422358,318096,5253714,334812768,4541,265940,1234400,169,15,455,70,BNL_PROD,692224
3949315159,305372,5043563,316780,5231979,337035259,3673,266116,1234292,118,22,368,81,BNL_PROD,675840
3949315164,335360,5450930,367628,5975413,336372333,5260,174420,815592,152,177,527,61,BNL_PROD,692224
3949315167,310764,5132618,331176,5469745,336462187,3014,266396,1235436,78,15,302,71,BNL_PROD,671744
3949315173,303372,4930998,175380,2850620,334745469,4421,265348,1234408,156,17,443,80,BNL_PROD,679936
3949315175,429084,3543403,365504,3018355,334150814,4601,265636,1234416,156,16,461,73,BNL_PROD,692224
3949315176,276876,2305048,344012,2863969,335516262,4132,266576,1235512,143,16,414,73,BNL_PROD,679936
3949315179,85768,1416555,512,8456,336658656,3423,71916,534304,141,17,343,64,BNL_PROD,684032
3949315180,269284,4376933,367060,5966181,335910993,2884,266736,1235436,92,16,289,65,BNL_PROD,684032
3949315190,307168,4992698,259304,4214718,337022598,4861,266076,1234400,189,17,487,76,BNL_PROD,671744
3949315197,274864,4539689,343936,5680491,336434542,3892,266132,1234404,153,16,390,69,BNL_PROD,688128
3949305025,267104,2205762,356368,2942909,335348461,5150,266128,1234408,151,21,516,77,BNL_PROD,684032
3949305027,262728,2169624,304360,2513424,335914346,4451,266112,1234488,81,15,446,78,BNL_PROD,688128
3949305028,281652,4651800,297112,4907140,337053589,4900,264128,1234400,191,20,491,81,BNL_PROD,679936
3949305033,423860,3528720,369004,3072033,337788389,4681,288404,1267184,156,18,469,73,BNL_PROD,688128
3949305034,284624,4700886,299744,4950610,336825137,3563,265908,1234400,143,12,357,67,BNL_PROD,688128
3949305036,364732,6023960,364392,6018345,333166112,2923,206844,978932,24,7,260,66,DESY-HH_UCORE,671744
3949305042,302396,2477228,207196,1697349,336790100,3586,265856,1345100,33,9,319,83,DESY-HH_UCORE,663552
3949305052,286348,2364680,366012,3022550,334854703,4317,207596,1345196,37,11,384,108,DESY-HH_UCORE,679936
3949305063,301980,4908373,282964,4599287,335830122,2394,266356,1346116,28,7,213,82,DESY-HH_UCORE,667648
3949305064,345528,5616201,260612,4235979,337336071,3091,202552,1345108,26,7,275,85,DESY-HH_UCORE,671744
3949288424,357348,1811506,365760,1854149,334540334,5565,265652,1345104,39,10,495,101,DESY-HH_UCORE,684032
3949288425,305228,2500427,320808,2628059,337176004,4305,250264,1347152,37,10,383,110,DESY-HH_UCORE,688128
3949288428,374776,1541247,366516,1507278,335261177,5834,265864,1345256,47,11,519,116,DESY-HH_UCORE,688128
3949904580,290116,4791593,308280,5091592,335847164,3271,266916,1347132,54,8,291,81,DESY-HH_UCORE,692224
3949904584,363592,3002566,368364,3041973,337258901,4474,265256,1345116,65,10,398,101,DESY-HH_UCORE,684032
3949904601,435932,3514916,367428,2962569,336205981,3946,265864,1345172,41,11,351,84,DESY-HH_UCORE,692224
