pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,IOcharRead,IOcharReadRate,IOcharWriteRate,IOcharWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,computingsite,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize
4011516006,2703696.0,313791.0,281921.0,2429096.0,4546485.0,527666.0,278535.0,2399920.0,4,340,3450849,12341839,16150841,NIKHEF-ELPROD_MCORE,3.794358,33895,340,0.81,0,512038,425231165,75145,2280,3631517,13079728,16956796,2682,1000,1219027544,4707,8860,11,21,8933,1234549404
4011516363,2914716.0,504252.0,411640.0,2379392.0,3208094.0,555007.0,407060.0,2352918.0,8,340,4327092,21571661,28001468,MWT2_MCORE,7.260799,44545,340,0.66,0,523683,424036058,74933,2277,4670085,23422036,30133824,4464,1000,1207318721,4414,5978,10,19,6135,1163897126
4011516032,2616236.0,319045.0,276592.0,2268116.0,2795215.0,340871.0,273248.0,2240693.0,4,340,3479510,12329029,16134934,NIKHEF-ELPROD_MCORE,3.782568,32375,340,0.86,0,490600,421381810,74464,2272,3659482,13101584,16959780,2682,1000,1192876917,5111,8469,15,20,8559,1191688526
4011516049,2735704.0,352905.0,279623.0,2167628.0,2640771.0,340658.0,276380.0,2142486.0,4,340,3511089,12431264,16228389,NIKHEF-ELPROD_MCORE,3.8072126,30827,340,0.62,0,464119,421381810,74464,2272,3675289,13138060,16966044,2682,1000,1202426322,5460,8009,18,20,8097,1165085006
4011516366,2841736.0,463439.0,394299.0,2417780.0,4461474.0,727591.0,388935.0,2384888.0,8,340,4274090,21472336,27883742,MWT2_MCORE,7.3218837,47109,340,0.65,0,549206,424036058,74933,2277,4634353,23383772,30158636,4464,1000,1207995095,4415,6318,10,19,6434,1085327654
4011516115,2699864.0,342967.0,309025.0,2432668.0,3207908.0,407505.0,305321.0,2403514.0,4,340,3466102,12319750,16106310,NIKHEF-ELPROD_MCORE,3.7724013,31028,340,0.83,0,471456,423321325,74807,2276,3661280,13036416,16962928,2682,1000,1220867884,5784,8109,20,22,8225,1236216295
4011516364,3004732.0,458341.0,369418.0,2421784.0,5771423.0,880372.0,365064.0,2393240.0,8,340,4367607,21652625,28078038,MWT2_MCORE,7.2227383,49743,340,0.55,0,587874,424036058,74933,2277,4710890,23317944,30155424,4464,1000,1212206933,4415,6739,17,19,6887,1029347622
4011516047,2705656.0,333204.0,266461.0,2163696.0,2668942.0,328682.0,263366.0,2138566.0,4,340,3448658,12336714,16129976,NIKHEF-ELPROD_MCORE,3.7996442,32050,340,0.58,0,483493,421381810,74464,2272,3626346,13103436,16969888,2682,1000,1209722244,5418,8329,15,19,8435,1224796494
4011516261,2871556.0,631816.0,502810.0,2285236.0,2824140.0,621383.0,496488.0,2256500.0,8,340,4253651,21216593,27510937,MWT2_MCORE,7.0882893,34683,340,0.64,0,417666,424310974,74982,2278,4643730,23466264,30129136,4464,1000,1219128405,4391,4726,11,18,4893,1222997826
4011515980,2812736.0,565973.0,485012.0,2410380.0,4078378.0,820644.0,478113.0,2376095.0,8,340,4297453,21265019,27567335,MWT2_MCORE,7.317241,38196,340,2.54,0,445579,424628955,75038,2278,4708635,23354552,30147300,4464,1000,1203604168,4374,5127,11,24,5220,1222486185
4011516270,2558808.0,475884.0,414525.0,2228884.0,2988013.0,555707.0,409605.0,2202431.0,8,340,4342273,21950301,28240206,MWT2_MCORE,7.189904,41306,340,0.76,0,490393,425612843,75212,2280,4675561,23528328,30105780,4464,1000,1198199538,4394,5567,8,24,5745,1151408597
4011516350,2906272.0,289102.0,238800.0,2400596.0,4256023.0,423369.0,234116.0,2353513.0,8,340,4037042,22145010,28692797,MWT2_MCORE,7.5001426,78789,340,0.66,0,896706,423677502,74870,2277,4296519,23381140,30113432,4464,1000,1191909033,4411,10342,20,28,10505,1205023170
4011516246,2744900.0,444040.0,374100.0,2312552.0,3229312.0,522403.0,369611.0,2284804.0,8,340,4262529,21697290,28118291,MWT2_MCORE,7.3528337,48264,340,0.81,0,560303,424310974,74982,2278,4595098,23329752,30120988,4464,1000,1212537392,4390,6398,13,25,6564,1231397799
4011516253,3143076.0,531897.0,388120.0,2293472.0,3205443.0,542451.0,384417.0,2271592.0,8,340,4019055,22008356,28156896,MWT2_MCORE,7.2158766,45359,340,0.98,0,536572,424310974,74982,2278,4304447,23917344,30141796,4464,1000,1217779809,4390,6119,15,25,6286,1185122114
4011516344,2756024.0,425859.0,381025.0,2465872.0,5715804.0,883202.0,374194.0,2421669.0,8,340,4321979,22016409,28476170,MWT2_MCORE,7.4380264,50348,340,0.69,0,577801,425715890,75230,2280,4636001,24864804,32204784,4464,1000,1226904850,4407,6648,9,50,6769,1183934286
4011516347,2903424.0,459592.0,381288.0,2408744.0,5644434.0,893476.0,376048.0,2375641.0,8,340,4293184,21513966,27940135,MWT2_MCORE,7.3199515,48502,340,0.83,0,565595,423677502,74870,2277,4628989,23306596,30112488,4464,1000,1203343389,4410,6488,10,25,6626,1221685698
4011516000,2417472.0,368650.0,349196.0,2289896.0,3256989.0,496672.0,345158.0,2263420.0,8,340,4444188,21856370,28315247,MWT2_MCORE,7.2834053,50474,340,0.84,0,591544,426546965,75377,2282,4738986,23446216,30121120,4464,1000,1225350355,4392,6789,8,27,6930,1190463723
4011515959,2843928.0,517997.0,398280.0,2186656.0,2940067.0,535508.0,393464.0,2160214.0,8,340,4328501,21653278,28025908,MWT2_MCORE,7.218169,41555,340,0.67,0,491417,425220536,75143,2280,4674231,23342696,30092776,4464,1000,1219442563,4331,5638,11,27,5757,1229819904
4011515983,2836328.0,524449.0,457076.0,2471964.0,5577603.0,1031322.0,446433.0,2414404.0,8,340,4020308,21284028,27705913,MWT2_MCORE,7.2792983,41492,340,0.68,0,486552,426546965,75377,2282,4385515,23314608,30149852,4464,1000,1223153013,4374,5568,22,24,5700,1174739179
4011516118,2740396.0,344864.0,295932.0,2351564.0,2833181.0,356541.0,292600.0,2325090.0,4,340,3455584,12275016,16114265,NIKHEF-ELPROD_MCORE,3.7804465,31321,340,0.81,0,474895,423321325,74807,2276,3640604,13079644,16971528,2682,1000,1203852247,5827,8199,16,22,8285,1219435446
4011516473,2739188.0,337414.0,297041.0,2411432.0,4346031.0,535346.0,293655.0,2383944.0,4,340,3450413,12242208,16048947,NIKHEF-ELPROD_MCORE,3.748265,31864,340,2.65,0,487276,422756339,74707,2275,3648761,13095900,16961680,2682,1000,1210792441,7149,8349,16,22,8501,1225908237
4011515576,3012724.0,696394.0,563261.0,2436768.0,2903842.0,671226.0,559059.0,2418588.0,8,340,3894467,21090288,27378520,ROMANIA07_MCORE_ARC,7.2123137,32917,340,0.85,0,411665,427410993,75530,2284,4279023,23463864,30172348,4464,1000,1225567283,3921,4476,10,27,4564,1244105167
4011515898,7273424.0,1827278.0,566373.0,2254432.0,3995609.0,1003803.0,1124287.0,4475190.0,8,340,4417517,22039557,27539739,IAAS_MCORE,6.7615814,28899,340,0.66,0,324824,423206491,74787,2276,4833697,24170272,30151832,4464,1000,1215928840,2844,4146,13,15,4274,1163702693
4011515928,8171776.0,1349225.0,390242.0,2363556.0,4825964.0,796805.0,773543.0,4685076.0,8,340,4463118,22524574,28108717,IAAS_MCORE,6.9952965,44616,340,0.69,0,484728,424406235,74999,2278,4812695,24202020,30158248,4464,1000,1221735241,3256,6269,14,15,6378,1240612828
