kmeans,wall_time,cpuconsumptiontime,cpu_eff,IObytesRead,IObytesReadRate,IOcharRead,timeStageOut,workDirSize,dbTime,maxrss,maxvmem
105,1276.4117647058824,227.23529411764707,0.18164391058823529,1885.0423529411767,3202.2386470588235,988.0619411764706,58.294117647058826,604.7900042352942,9.370000000000001,816.5489411764705,2892.160705882353
106,616.0,238.0,0.3871141193333333,1677.0927999999997,4779.5651333333335,860.9833333333336,40.6,7.394918400000001,7.163333333333333,820.6061333333336,2994.433333333334
107,4963.25,300.0,0.07290024575,2493.096,740.5779999999999,1517.70375,95.25,608.4962435,189.315,840.5369999999999,3224.267
108,6336.0,319.5,0.05208847,2514.8559999999998,501.2665,1145.42,90.0,611.310294,40.489999999999995,856.54,3320.4759999999997
109,1079.5,166.5,0.17084978,1324.3899999999999,6422.0875,1508.3495,32.0,597.15584,11.42,824.51,2173.172
110,2725.0,182.0,0.066788994,2283.804,4244.31,1552.488,106.0,620.602309,6.59,945.796,2928.336
111,1705.0,212.75,0.125578405,2112.0060000000003,2251.5855,1235.2155,90.0,605.873407,6.574999999999999,931.573,3306.893
112,397.0,140.0,0.35264483,1747.624,9673.335,826.995,22.0,7.405568,6.37,1005.796,2367.98
113,1398.5,203.0,0.1611037175,1315.23,5353.06425,901.2835,32.25,604.0325574999999,7.125,886.87,3256.4799999999996
114,732.8823529411765,241.94117647058823,0.3310765688235294,2234.958823529412,5680.503470588235,1513.7521176470589,45.1764705882353,603.3036307647058,7.3358823529411765,814.6785882352941,3037.365647058824
115,994.625,150.875,0.16133719375,1359.1975,7558.861499999999,809.4001249999999,25.875,601.6024573750001,6.3325000000000005,817.5904999999999,2176.7745
116,24105.0,181.0,0.007508815699999999,3997.52,187.061,1792.783,592.0,602.954728,9.98,754.116,3317.648
117,743.5,173.66666666666666,0.234539245,1384.956666666667,2900.535,776.1363333333334,36.5,602.0526381666667,63.23333333333333,815.2853333333334,2175.7899999999995
118,1081.6666666666667,183.33333333333334,0.18472280666666666,1324.936,1976.4436666666668,1533.0873333333332,73.33333333333333,605.1989143333334,140.21,830.9706666666666,2174.684
119,485.5,189.0,0.38928767500000006,860.442,3581.6765,844.721,29.0,7.471104,10.1,824.51,3071.7380000000003
120,3658.4444444444443,221.44444444444446,0.06425101088888889,2092.8715555555555,999.4192222222223,1009.7607777777778,57.333333333333336,605.3412344444445,36.007777777777775,815.8791111111111,3189.8524444444442
121,707.5,195.2,0.27684060099999996,1680.9543999999999,4324.7839,937.8700000000001,38.2,604.1002887,15.572,811.4200000000001,2887.4468000000006
122,2292.0,245.5,0.107375935,1824.974,5050.7384999999995,904.9449999999999,46.0,599.999488,6.859999999999999,1005.52,2997.376
123,1186.1,251.2,0.215324815,2173.1368000000007,3532.5507,1463.6051,69.9,598.6301169999999,6.7829999999999995,823.3496000000001,3090.6856
124,950.875,210.625,0.22307345375,1446.5914999999998,2422.4252500000002,849.87925,34.75,602.649663375,102.70750000000001,882.591,3279.3240000000005
125,476.5,209.25,0.44178511,1308.297,5451.5165,935.978,39.0,7.4045440000000005,4.0525,902.359,3301.315
126,787.0,199.0,0.25285897,2417.532,8063.689,1527.789,31.0,608.445083,6.17,987.868,3134.276
127,429.26666666666665,157.46666666666667,0.3693364953333333,1721.3999999999999,9510.824933333332,793.1662666666666,24.066666666666666,7.528994133333333,6.668000000000001,811.8029333333333,2176.5618666666664
128,2566.75,217.91666666666666,0.08795254433333334,1666.9106666666664,890.2685833333334,978.5598333333334,47.083333333333336,605.06561775,101.59166666666665,840.5613333333331,3214.863
129,858.6666666666666,207.33333333333334,0.24213030000000002,2333.671333333333,7409.471999999999,1529.691,33.666666666666664,604.9622756666666,8.945,801.2919999999999,3084.273333333333
130,396.73333333333335,150.03333333333333,0.3805629213333333,1334.0976,7328.561633333333,926.8850666666668,23.633333333333333,7.528448000000001,6.075666666666666,827.4424000000001,2177.3825333333334
