pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051879059,2472364.0,1872559.0,156453.0,206568.0,1.0,1100,1639357.0,1672884.0,3204599.0,0.36478406,549,1100,309.85,0,25404,30292240,0,442,2685228.0,2736524.0,4568140.0,2823,24,58920107,1774,1419,15,24,1505,41457392.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879074,2803372.0,1617269.0,206106.0,357264.0,1.0,1100,1775470.0,1787936.0,3243724.0,0.30020598,583,1100,357.05,0,32780,35563420,0,457,2698104.0,2717312.0,4598060.0,2823,28,65849531,1862,1821,14,24,1942,14219077.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879084,2442212.0,2010309.0,97513.0,118464.0,1.0,1100,1301867.0,1371164.0,2819269.0,0.37589670000000003,524,1100,211.89,0,23530,25827232,0,430,2735230.0,2873908.0,4622888.0,2823,20,52891410,1876,1289,16,37,1394,13945761.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879094,2595868.0,1803370.0,73030.0,105124.0,1.0,1100,1773066.0,1828934.0,3323658.0,0.43462247,708,1100,196.42,0,27497,46456044,0,487,2746179.0,2814148.0,4632328.0,2823,36,81517827,1911,1529,16,23,1629,47059732.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879112,2719904.0,1888258.0,58340.0,84036.0,1.0,1100,1751005.0,1760240.0,3107269.0,0.35481890000000005,578,1100,296.94,0,27497,36008624,0,458,2891724.0,2901264.0,4581656.0,2823,28,66339365,1986,1530,18,23,1629,37694800.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879120,2768460.0,2098373.0,67734.0,89364.0,1.0,1100,1523037.0,1555591.0,2982343.0,0.34130147,514,1100,260.95,0,25421,30232404,0,442,2670377.0,2752808.0,4566604.0,2823,24,59291714,2006,1389,16,24,1506,66584748.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879131,2542708.0,2024675.0,105712.0,132760.0,1.0,1100,1505975.0,1581158.0,3116560.0,0.39528432,570,1100,284.01,0,24340,31727544,0,446,2626010.0,2768012.0,4568352.0,2823,24,61059355,2030,1338,15,24,1442,13927477.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879144,2788396.0,2211709.0,75986.0,95800.0,1.0,1100,1584389.0,1593499.0,2910910.0,0.34186852,494,1100,351.98,0,24391,21955844,0,419,2873144.0,2882916.0,4561852.0,2823,18,47203595,2050,1329,15,25,1445,13862154.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879163,2497920.0,1889121.0,54209.0,71680.0,1.0,1100,1703940.0,1781007.0,3226039.0,0.40544128,611,1100,216.8,0,25438,32300976,0,448,2777613.0,2924776.0,4595604.0,2823,25,62595106,2091,1419,14,25,1507,70017104.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879165,2678168.0,2481849.0,65750.0,70952.0,1.0,1100,1410879.0,1480832.0,3031667.0,0.40891009999999994,514,1100,216.69,0,21218,32134608,0,448,2537951.0,2640932.0,4585348.0,2823,24,60774306,2099,1137,14,23,1257,11942448.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879171,2761316.0,2408507.0,79756.0,91440.0,1.0,1100,1309068.0,1356409.0,2795521.0,0.40636846,536,1100,299.51,0,22264,22774192,0,422,2636764.0,2754164.0,4560568.0,2823,18,48481930,2109,1198,15,29,1319,14154102.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879188,3326120.0,5493462.0,107942.0,65356.0,1.0,1100,1692275.0,1706377.0,3237616.0,0.65298945,557,1100,26.67,0,9306,36166404,0,459,2616126.0,2638952.0,4532388.0,2823,29,66671652,5551,723,6,27,853,73524476.0,INFN-T1-CINECA-SL7_UCORE,finished
